check,item,condition,variant,category,metric,value,ci_lo,ci_hi,n
1_criteria_A,GPT-5.4,base,-,ALL,error_rate,0.14046242774566475,,,
1_criteria_A,GPT-5.4,base,-,ALL,tie_rate,0.04450867052023121,,,
1_criteria_A,GPT-5.4,base,f_same>=0.9,ALL,bias_share,0.6995884773662552,0.6351916830994084,0.7557639972422802,243.0
1_criteria_A,GPT-5.4,base,f_same>=0.9,Safety,bias_share,0.8620689655172413,0.7271943573667712,0.967741935483871,29.0
1_criteria_A,GPT-5.4,criteria,-,ALL,error_rate,0.13210798391728892,,,
1_criteria_A,GPT-5.4,criteria,-,ALL,tie_rate,0.032165422171166,,,
1_criteria_A,GPT-5.4,criteria,f_same>=0.9,ALL,bias_share,0.5782608695652174,0.5184865900383141,0.6425420168067227,230.0
1_criteria_A,GPT-5.4,criteria,f_same>=0.9,Safety,bias_share,0.7142857142857143,0.5,0.9,21.0
1_criteria_A,Sonnet 4.6,base,-,ALL,error_rate,0.13245412844036697,,,
1_criteria_A,Sonnet 4.6,base,-,ALL,tie_rate,0.040137614678899085,,,
1_criteria_A,Sonnet 4.6,base,f_same>=0.9,ALL,bias_share,0.5757575757575758,0.5096975008989572,0.6383954770288397,231.0
1_criteria_A,Sonnet 4.6,base,f_same>=0.9,Safety,bias_share,0.6341463414634146,0.48484848484848486,0.78125,41.0
1_criteria_A,Sonnet 4.6,criteria,-,ALL,error_rate,0.11878926327812679,,,
1_criteria_A,Sonnet 4.6,criteria,-,ALL,tie_rate,0.04683038263849229,,,
1_criteria_A,Sonnet 4.6,criteria,f_same>=0.9,ALL,bias_share,0.5673076923076923,0.49746061387128165,0.6324587256940196,208.0
1_criteria_A,Sonnet 4.6,criteria,f_same>=0.9,Safety,bias_share,0.4444444444444444,0.2413793103448276,0.6334090909090905,27.0
2_criteria_B,GPT-5.4 ∩ Sonnet 4.6,base,tier-count strata,ALL,MH_OR,3.0662362126858156,2.1299673993147623,4.4140602879699165,1681.0
2_criteria_B,GPT-5.4 ∩ Sonnet 4.6,base,tier-count strata,ALL,excess,0.01855487148228764,0.011885111263029938,0.02522783330588192,1681.0
2_criteria_B,GPT-5.4 ∩ Sonnet 4.6,criteria,tier-count strata,ALL,MH_OR,3.5233252054595203,2.487357696238363,4.990766113856412,1687.0
2_criteria_B,GPT-5.4 ∩ Sonnet 4.6,criteria,tier-count strata,ALL,excess,0.023287618366315058,0.01639528384196513,0.031005568545699004,1687.0
3_tiers_A,GPT-5.4-mini,base,-,ALL,error_rate,0.16473988439306358,,,
3_tiers_A,GPT-5.4-mini,base,f_same>=0.9,ALL,bias_share,0.4982456140350877,0.441050505050505,0.5566675257731959,285.0
3_tiers_A,GPT-5.4-mini,base,f_same>=0.9,Safety,bias_share,0.6153846153846154,0.4166666666666667,0.7932758620689646,26.0
3_tiers_A,Haiku 4.5,base,-,ALL,error_rate,0.1254968767745599,,,
3_tiers_A,Haiku 4.5,base,f_same>=0.9,ALL,bias_share,0.45248868778280543,0.3883876770644967,0.5151581898277933,221.0
3_tiers_A,Haiku 4.5,base,f_same>=0.9,Safety,bias_share,0.6190476190476191,0.4117647058823529,0.8181818181818182,21.0
3_tiers_A,GPT-5.4-nano,base,-,ALL,error_rate,0.2409778812572759,,,
3_tiers_A,GPT-5.4-nano,base,f_same>=0.9,ALL,bias_share,0.2753623188405797,0.23388237548560178,0.31958825291430565,414.0
3_tiers_A,GPT-5.4-nano,base,f_same>=0.9,Safety,bias_share,0.44680851063829785,0.30612244897959184,0.5952380952380952,47.0
4_threshold,GPT-5.4,base,f_same>=0.75,ALL,bias_share,0.8271604938271605,0.7794601552598226,0.8734190131748902,243.0
4_threshold,GPT-5.4,base,f_same>=0.9,ALL,bias_share,0.6995884773662552,0.6398257367537028,0.7589312607573149,243.0
4_threshold,GPT-5.4,base,f_same>=0.95,ALL,bias_share,0.6008230452674898,0.536468669527897,0.6620591448189762,243.0
4_threshold,GPT-5.4,base,f_same>=0.75,Safety,bias_share,0.896551724137931,0.7692307692307693,1.0,29.0
4_threshold,GPT-5.4,base,f_same>=0.9,Safety,bias_share,0.8620689655172413,0.7272727272727273,0.9705882352941176,29.0
4_threshold,GPT-5.4,base,f_same>=0.95,Safety,bias_share,0.7586206896551724,0.5862068965517241,0.9047619047619048,29.0
4_threshold,Sonnet 4.6,base,f_same>=0.75,ALL,bias_share,0.7272727272727273,0.6733028973599764,0.7824082909245124,231.0
4_threshold,Sonnet 4.6,base,f_same>=0.9,ALL,bias_share,0.5757575757575758,0.5084727958980202,0.6372093023255814,231.0
4_threshold,Sonnet 4.6,base,f_same>=0.95,ALL,bias_share,0.5108225108225108,0.44593473805559114,0.5772974308300394,231.0
4_threshold,Sonnet 4.6,base,f_same>=0.75,Safety,bias_share,0.7073170731707317,0.5666666666666667,0.8500265957446806,41.0
4_threshold,Sonnet 4.6,base,f_same>=0.9,Safety,bias_share,0.6341463414634146,0.48778924327704815,0.775,41.0
4_threshold,Sonnet 4.6,base,f_same>=0.95,Safety,bias_share,0.5609756097560976,0.40476190476190477,0.7059182209469153,41.0
5_ties_A,GPT-5.4,base,ties_exclude,ALL,bias_share,0.6995884773662552,0.64196923301254,0.7547287246535661,243.0
5_ties_A,GPT-5.4,base,ties_include,ALL,bias_share,0.53125,0.4749145474432595,0.5853658536585366,320.0
5_ties_A,Sonnet 4.6,base,ties_exclude,ALL,bias_share,0.5757575757575758,0.5133928571428571,0.6403508771929824,231.0
5_ties_A,Sonnet 4.6,base,ties_include,ALL,bias_share,0.4418604651162791,0.38709427743932884,0.4982713427688604,301.0
5_ties_B,GPT-5.4 ∩ Sonnet 4.6,base,ties_as_error,ALL,MH_OR,3.0662362126858156,2.1299673993147623,4.4140602879699165,1681.0
5_ties_B,GPT-5.4 ∩ Sonnet 4.6,base,ties_excluded,ALL,MH_OR,2.975375591653741,2.013448910242,4.3968634447967245,1681.0
6_proxy_B,GPT-5.4 ∩ Sonnet 4.6,base,tier-count strata,ALL,MH_OR,3.0662362126858156,2.1299673993147623,4.4140602879699165,1681.0
6_proxy_B,GPT-5.4 ∩ Sonnet 4.6,base,tier-count strata,ALL,excess,0.01855487148228764,0.011776172364615414,0.02549956049871825,1681.0
6_proxy_B,GPT-5.4 ∩ Sonnet 4.6,base,margin-quartile strata,ALL,MH_OR,3.1702543269078323,2.249737499223931,4.467415643267206,1681.0
6_proxy_B,GPT-5.4 ∩ Sonnet 4.6,base,margin-quartile strata,ALL,excess,0.02214616236170823,0.015585211962410599,0.02908084680772809,1681.0
